hub_name,volume,HubName,HubDist
KAMPUNG RINCHING,15156.500000000000000,"4",28.8418738728642
SUNGAI RAMAL LUAR,19299.500000000000000,"4",17.2027614185448
KOTA KEMUNING JALAN 31/1 - 31/80,25078.500000000000000,"4",6.2089859530204
PUTRA HEIGHT,23301.500000000000000,"4",3.19534353447194
BANDAR SULTAN SULAIMAN,16492.500000000000000,"4",25.8955399277552
BUKIT JELUTONG U8,16811.500000000000000,"4",14.6232523506874
SETIA ALAM,33226.500000000000000,"4",19.9107021015186
KOTA DAMANSARA SEKSYEN 4 DAN 5,35395.000000000000000,"4",17.1001952684954
PINGGIRAN SUBANG,23474.500000000000000,"4",20.6628256598372
KUBU GAJAH,15459.000000000000000,"4",24.732966929567
PETEMPATAN SUNGAI BULOH,17408.000000000000000,"4",26.0474510400347
SUNGAI BULOH,17041.000000000000000,"4",24.1515571129116
BUKIT LANJAN,16302.000000000000000,"4",19.5706916235853
GLENMARIE,18701.000000000000000,"4",11.1545311697724
KAMPUNG BATU 13,18770.000000000000000,"4",3.6525565487519
BANDAR PUTERI,21566.000000000000000,"4",3.84100890048613
BANDAR KINRARA SEKSYEN 5,37030.500000000000000,"4",9.10185192932671
IMPIAN EHSAN,33574.500000000000000,"4",17.7054703200793
SUNGAI SEKAMAT,24131.500000000000000,"4",21.4226647009835
KUALA GARING,15021.000000000000000,"4",35.7067779936755
CYBERJAYA,22352.000000000000000,"4",9.25252326444478
PULAU INDAH SELATAN,20021.000000000000000,"4",33.8614604273752
KAMPUNG MELOT,16881.500000000000000,"4",21.6977169311693
SEKSYEN 34 SHAH ALAM,15682.000000000000000,"4",10.6083484049081
ARA DAMANSARA,16493.500000000000000,"4",13.8102772140561
BATU 12 PUCHONG,16812.000000000000000,"4",4.41110320454506
TAMAN TTDI JAYA,18584.000000000000000,"4",14.6280612453356
HAJI HUSIN JALAN KEBUN,18293.000000000000000,"4",7.19759042670083
KAMPUNG BAHARU SUNGAI BULOH SEKOLAH,16785.500000000000000,"4",21.9695905386425
PULAU MERANTI,20605.000000000000000,"4",6.13391133521932
BATU 9 GOMBAK,19053.500000000000000,"4",38.4604218659254
TAMAN PINGGIRAN PUTRA,50518.000000000000000,"4",6.38771799228859
MONTEREZ,27596.500000000000000,"4",19.2409451119285
TAMAN PUCHONG UTAMA,34103.500000000000000,"4",0
BALAKONG JAYA,16880.000000000000000,"4",15.3560602901712
KAWASAN UPM,16814.500000000000000,"4",11.3990692755673
KAMPUNG BAHARU SUBANG,27459.000000000000000,"4",17.4447036978609
SUNGAI RAMAL DALAM,16471.000000000000000,"4",17.8523590893432
,19613.500000000000000,"4",20.7279325431349
,15168.500000000000000,"4",19.3276882736136
,15296.500000000000000,"4",22.1321725739854
,15409.000000000000000,"4",12.7352716755149
