hub_name,volume,HubName,HubDist
KAMPUNG RINCHING,15156.500000000000000,"3",23.1723218980528
SUNGAI RAMAL LUAR,19299.500000000000000,"3",11.0448258218221
KOTA KEMUNING JALAN 31/1 - 31/80,25078.500000000000000,"3",12.4435196322743
PUTRA HEIGHT,23301.500000000000000,"3",9.52104031319892
BANDAR SULTAN SULAIMAN,16492.500000000000000,"3",32.0049608603078
BUKIT JELUTONG U8,16811.500000000000000,"3",17.8772586561124
SETIA ALAM,33226.500000000000000,"3",23.8966586345508
KOTA DAMANSARA SEKSYEN 4 DAN 5,35395.000000000000000,"3",17.9516972727393
PINGGIRAN SUBANG,23474.500000000000000,"3",22.3012952838409
KUBU GAJAH,15459.000000000000000,"3",26.8914578376496
PETEMPATAN SUNGAI BULOH,17408.000000000000000,"3",26.2612462338252
SUNGAI BULOH,17041.000000000000000,"3",24.2067897611745
BUKIT LANJAN,16302.000000000000000,"3",19.0882762179323
GLENMARIE,18701.000000000000000,"3",13.2944954082231
KAMPUNG BATU 13,18770.000000000000000,"3",7.321860011954
BANDAR PUTERI,21566.000000000000000,"3",3.84047070083763
BANDAR KINRARA SEKSYEN 5,37030.500000000000000,"3",3.81944274159094
IMPIAN EHSAN,33574.500000000000000,"3",11.3642530006101
SUNGAI SEKAMAT,24131.500000000000000,"3",15.0628074248929
KUALA GARING,15021.000000000000000,"3",35.9650077897891
CYBERJAYA,22352.000000000000000,"3",9.15749966001732
PULAU INDAH SELATAN,20021.000000000000000,"3",40.235526563214
KAMPUNG MELOT,16881.500000000000000,"3",20.0490636455228
SEKSYEN 34 SHAH ALAM,15682.000000000000000,"3",16.4917026129524
ARA DAMANSARA,16493.500000000000000,"3",15.0500160429939
BATU 12 PUCHONG,16812.000000000000000,"3",6.17753296803747
TAMAN TTDI JAYA,18584.000000000000000,"3",17.2617674325392
HAJI HUSIN JALAN KEBUN,18293.000000000000000,"3",13.5019508331038
KAMPUNG BAHARU SUNGAI BULOH SEKOLAH,16785.500000000000000,"3",22.8128133403017
PULAU MERANTI,20605.000000000000000,"3",4.14096383397583
BATU 9 GOMBAK,19053.500000000000000,"3",34.9596940763642
TAMAN PINGGIRAN PUTRA,50518.000000000000000,"3",0
MONTEREZ,27596.500000000000000,"3",22.1698082752362
TAMAN PUCHONG UTAMA,34103.500000000000000,"3",6.38771799228859
BALAKONG JAYA,16880.000000000000000,"3",8.99203629099789
KAWASAN UPM,16814.500000000000000,"3",5.22411211646083
KAMPUNG BAHARU SUBANG,27459.000000000000000,"3",19.8052636179173
SUNGAI RAMAL DALAM,16471.000000000000000,"3",11.9727458572819
,19613.500000000000000,"3",17.678452792062
,15168.500000000000000,"3",16.7901937561
,15296.500000000000000,"3",20.8646989472613
,15409.000000000000000,"3",7.25524768417075
